id;nom;nom_directeur;contact_directeur
1;Assistant a;overriding a;Account
2;Silver Bedfordshire Dinar;Berkshire Steel du;Arabie directional loyalty
3;Lepic Shoes;Shirt Fresh;Azerbaïdjan Bacon primary
4;Convertible bypass;Expanded Profound;optimal Sleek
5;Borders Cotton;SAS instruction Books;proactive Keyboard
6;Bretagne;Handcrafted;Saint-Bernard
7;Monténégro Charron Customizable;Convertible;Bretagne Australie
8;cross-platform Île-de-France;Rubber transform a;ability
9;Saint-Vincent-et-les-Grenadines;generate;b Gorgeous calculate
10;Team-oriented Zambian Plastic;Car Money;Aquitaine IB Exclusive
