id;note;observation;date_ajout;date_modification
1;68527;Books Ergonomic;2022-06-17;2022-06-17
2;20914;Architecte well-modulated Cambridgeshire;2022-06-17;2022-06-17
3;8844;B2C cross-platform Practical;2022-06-17;2022-06-17
4;87799;Languedoc-Roussillon static Monetary;2022-06-17;2022-06-17
5;60163;a portals Developpeur;2022-06-17;2022-06-17
6;4759;Cambridgeshire;2022-06-17;2022-06-17
7;77728;service-desk withdrawal;2022-06-17;2022-06-17
8;95123;Lanka c paradigms;2022-06-17;2022-06-16
9;29469;silver disintermediate;2022-06-17;2022-06-17
10;57600;e-services Money;2022-06-17;2022-06-17
