id;theme;rapport;rapport_content_type;cout;date_ajout;date_modification
1;Technicien;../fake-data/blob/hipster.png;image/png;85579;2022-06-17;2022-06-17
2;program Account;../fake-data/blob/hipster.png;image/png;14815;2022-06-17;2022-06-17
3;Lira facilitate;../fake-data/blob/hipster.png;image/png;25822;2022-06-17;2022-06-17
4;mobile la;../fake-data/blob/hipster.png;image/png;45570;2022-06-17;2022-06-17
5;Loan orchestration revolutionary;../fake-data/blob/hipster.png;image/png;33021;2022-06-17;2022-06-17
6;a data-warehouse bluetooth;../fake-data/blob/hipster.png;image/png;21333;2022-06-17;2022-06-17
7;Thaïlande;../fake-data/blob/hipster.png;image/png;73323;2022-06-17;2022-06-17
8;b Books;../fake-data/blob/hipster.png;image/png;77739;2022-06-17;2022-06-17
9;utilize;../fake-data/blob/hipster.png;image/png;12247;2022-06-17;2022-06-17
10;SQL;../fake-data/blob/hipster.png;image/png;99710;2022-06-17;2022-06-17
