id;mention;note;date_du_jour;remarque;date_ajout;date_modification
1;HONORABLE;96293;2022-06-17;repurpose Savings;2022-06-17;2022-06-16
2;EXCELENTE;20155;2022-06-17;context-sensitive empower;2022-06-17;2022-06-17
3;TRES_BIEN;47439;2022-06-17;redundant Garden navigate;2022-06-17;2022-06-17
4;HONORABLE;15279;2022-06-17;Ergonomic;2022-06-17;2022-06-17
5;HONORABLE;59073;2022-06-17;HDD Chips HTTP;2022-06-17;2022-06-16
6;BIEN;43375;2022-06-17;dot-com Intelligent Analyste;2022-06-17;2022-06-17
7;PASSABLE;32875;2022-06-17;navigate;2022-06-17;2022-06-17
8;HONORABLE;2960;2022-06-17;a Tools Analyste;2022-06-16;2022-06-17
9;BIEN;47785;2022-06-17;b;2022-06-17;2022-06-17
10;ASSEZ_BIEN;63828;2022-06-17;hard;2022-06-17;2022-06-17
